[2024-07-02 03:34:28] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-02 03:34:28] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-07-02 03:34:28] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-07-02 03:34:32] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-07-02 03:34:32] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-07-02 03:34:32] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-07-02 03:34:33] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\ianki\Local Sites\test-website\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1719891268\
[2024-07-02 03:34:35] [class-ss-setup-task.php:72] Adding origin URL to queue: http://test-website.local/
[2024-07-02 03:34:35] [class-ss-setup-task.php:145] Adding files from directory: C:\Users\ianki\Local Sites\test-website\app\public\wp-admin
[2024-07-02 03:34:35] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\about.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/about.php
[2024-07-02 03:34:35] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\admin-ajax.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/admin-ajax.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\admin-footer.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/admin-footer.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\admin-functions.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/admin-functions.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\admin-header.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/admin-header.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\admin-post.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/admin-post.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\admin.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/admin.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\async-upload.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/async-upload.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\authorize-application.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/authorize-application.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\comment.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/comment.php
[2024-07-02 03:34:36] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\contribute.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/contribute.php
[2024-07-02 03:34:37] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\credits.php to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/credits.php
[2024-07-02 03:34:37] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\about-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/about-rtl.css
[2024-07-02 03:34:37] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\about-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/about-rtl.min.css
[2024-07-02 03:34:37] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\about.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/about.css
